<<<<<<< HEAD
global_norm/L2Loss_53 513445 513512
global_norm/L2Loss_54 513516 513549
gradients/AddN_66 513553 513608
global_norm/L2Loss_55 513613 513676
global_norm/L2Loss_56 513679 513708
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_1_grad/Mul 513711 513743
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/sub_grad/Sum 513750 513801
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_1_grad/Mul_1 513806 513838
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/sub_grad/Neg 513841 513870
global_norm/L2Loss_51 513874 513907
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_2_grad/Mul 513910 513956
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_2_grad/Mul_1 513960 513994
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_2_grad/Sum 513998 514064
gradients/AddN_67 514069 514103
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_2_grad/Reshape 514107 514116
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_grad/Mul 514119 514153
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_grad/Mul_1 514160 514191
gradients/bert/encoder/layer_2/output/LayerNorm/moments/mean_grad/Tile 514195 514230
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_grad/Sum 514249 514284
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_grad/Sum_1 514288 514325
gradients/bert/encoder/layer_2/output/LayerNorm/moments/mean_grad/truediv 514329 514362
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/mul_grad/Reshape 514366 514374
global_norm/L2Loss_52 514377 514408
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/Rsqrt_grad/RsqrtGrad 514411 514457
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/add_grad/Sum 514462 514470
gradients/bert/encoder/layer_2/output/LayerNorm/batchnorm/add_grad/Reshape 514474 514480
gradients/bert/encoder/layer_2/output/LayerNorm/moments/variance_grad/Tile 514483 514515
gradients/bert/encoder/layer_2/output/LayerNorm/moments/SquaredDifference_grad/mul 514522 514554
gradients/bert/encoder/layer_2/output/LayerNorm/moments/SquaredDifference_grad/mul_1 514558 514588
gradients/AddN_68 514592 514623
gradients/bert/encoder/layer_2/output/dropout/div_grad/RealDiv 514627 514656
gradients/bert/encoder/layer_2/output/dense/MatMul_grad/MatMul 514660 514701
gradients/bert/encoder/layer_2/output/dense/MatMul_grad/MatMul_1 514709 514748
gradients/bert/encoder/layer_2/output/dense/BiasAdd_grad/BiasAddGrad 514755 514819
gradients/bert/encoder/layer_2/intermediate/dense/mul_1_grad/Mul 514822 514854
gradients/bert/encoder/layer_2/intermediate/dense/mul_1_grad/Mul_1 514858 514887
global_norm/L2Loss_49 514891 514954
global_norm/L2Loss_50 514957 514987
gradients/bert/encoder/layer_2/intermediate/dense/Erf_grad/mul_1 514990 515019
gradients/bert/encoder/layer_2/intermediate/dense/truediv_grad/RealDiv 515023 515052
gradients/AddN_69 515056 515104
gradients/bert/encoder/layer_2/intermediate/dense/MatMul_grad/MatMul 515108 515149
gradients/bert/encoder/layer_2/intermediate/dense/MatMul_grad/MatMul_1 515156 515195
gradients/bert/encoder/layer_2/intermediate/dense/BiasAdd_grad/BiasAddGrad 515202 515249
gradients/AddN_70 515252 515284
global_norm/L2Loss_47 515288 515349
global_norm/L2Loss_48 515352 515387
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_1_grad/Mul 515390 515440
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/sub_grad/Sum 515447 515489
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_1_grad/Mul_1 515493 515524
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/sub_grad/Neg 515527 515559
global_norm/L2Loss_45 515562 515592
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_2_grad/Mul 515594 515625
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_2_grad/Mul_1 515629 515663
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_2_grad/Sum 515667 515706
gradients/AddN_71 515710 515745
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_2_grad/Reshape 515753 515762
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_grad/Mul 515766 515817
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_grad/Mul_1 515824 515863
gradients/bert/encoder/layer_2/attention/output/LayerNorm/moments/mean_grad/Tile 515867 515899
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_grad/Sum 515910 515947
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_grad/Sum_1 515951 515984
gradients/bert/encoder/layer_2/attention/output/LayerNorm/moments/mean_grad/truediv 515992 516026
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/mul_grad/Reshape 516030 516059
global_norm/L2Loss_46 516067 516102
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/Rsqrt_grad/RsqrtGrad 516105 516136
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/add_grad/Sum 516139 516153
gradients/bert/encoder/layer_2/attention/output/LayerNorm/batchnorm/add_grad/Reshape 516157 516163
gradients/bert/encoder/layer_2/attention/output/LayerNorm/moments/variance_grad/Tile 516167 516223
gradients/bert/encoder/layer_2/attention/output/LayerNorm/moments/SquaredDifference_grad/mul 516231 516267
gradients/bert/encoder/layer_2/attention/output/LayerNorm/moments/SquaredDifference_grad/mul_1 516271 516306
gradients/AddN_72 516310 516343
gradients/bert/encoder/layer_2/attention/output/dropout/div_grad/RealDiv 516347 516381
gradients/bert/encoder/layer_2/attention/output/dense/MatMul_grad/MatMul 516385 516427
gradients/bert/encoder/layer_2/attention/output/dense/MatMul_grad/MatMul_1 516434 516503
gradients/bert/encoder/layer_2/attention/output/dense/BiasAdd_grad/BiasAddGrad 516510 516559
gradients/bert/encoder/layer_2/attention/self/Reshape_3_grad/Reshape 516563 516577
global_norm/L2Loss_43 516580 516663
global_norm/L2Loss_44 516666 516695
gradients/bert/encoder/layer_2/attention/self/transpose_3_grad/transpose 516703 516740
gradients/bert/encoder/layer_2/attention/self/MatMul_1_grad/MatMul 516748 516978
gradients/bert/encoder/layer_2/attention/self/MatMul_1_grad/MatMul_1 516986 517157
gradients/bert/encoder/layer_2/attention/self/dropout/div_grad/RealDiv 517165 517204
gradients/bert/encoder/layer_2/attention/self/transpose_2_grad/transpose 517208 517244
gradients/bert/encoder/layer_2/attention/self/Softmax_grad/mul 517251 517284
gradients/bert/encoder/layer_2/attention/self/Reshape_2_grad/Reshape 517287 517297
gradients/bert/encoder/layer_2/attention/self/Softmax_grad/Sum 517300 517339
gradients/bert/encoder/layer_2/attention/self/value/MatMul_grad/MatMul 517346 517388
gradients/bert/encoder/layer_2/attention/self/value/MatMul_grad/MatMul_1 517396 517456
gradients/bert/encoder/layer_2/attention/self/value/BiasAdd_grad/BiasAddGrad 517463 517508
gradients/bert/encoder/layer_2/attention/self/Softmax_grad/sub 517512 517546
global_norm/L2Loss_41 517551 517638
global_norm/L2Loss_42 517641 517671
gradients/bert/encoder/layer_2/attention/self/Mul_grad/Mul 517674 517704
gradients/bert/encoder/layer_2/attention/self/MatMul_grad/MatMul 517709 517899
gradients/bert/encoder/layer_2/attention/self/MatMul_grad/MatMul_1 517908 518075
gradients/bert/encoder/layer_2/attention/self/transpose_grad/transpose 518083 518131
gradients/bert/encoder/layer_2/attention/self/transpose_1_grad/transpose 518138 518172
gradients/bert/encoder/layer_2/attention/self/Reshape_grad/Reshape 518178 518188
gradients/bert/encoder/layer_2/attention/self/Reshape_1_grad/Reshape 518191 518197
gradients/bert/encoder/layer_2/attention/self/query/MatMul_grad/MatMul 518201 518239
gradients/bert/encoder/layer_2/attention/self/query/MatMul_grad/MatMul_1 518246 518307
gradients/bert/encoder/layer_2/attention/self/query/BiasAdd_grad/BiasAddGrad 518314 518378
gradients/bert/encoder/layer_2/attention/self/key/MatMul_grad/MatMul 518381 518421
gradients/bert/encoder/layer_2/attention/self/key/MatMul_grad/MatMul_1 518428 518484
gradients/bert/encoder/layer_2/attention/self/key/BiasAdd_grad/BiasAddGrad 518491 518535
global_norm/L2Loss_37 518540 518604
global_norm/L2Loss_38 518608 518636
gradients/AddN_73 518639 518672
global_norm/L2Loss_39 518679 518761
global_norm/L2Loss_40 518764 518793
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_1_grad/Mul 518796 518827
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/sub_grad/Sum 518834 518869
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_1_grad/Mul_1 518873 518903
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/sub_grad/Neg 518907 518934
global_norm/L2Loss_35 518937 518964
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_2_grad/Mul 518967 518992
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_2_grad/Mul_1 518996 519059
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_2_grad/Sum 519064 519120
gradients/AddN_74 519124 519155
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_2_grad/Reshape 519160 519168
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_grad/Mul 519171 519203
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_grad/Mul_1 519210 519239
gradients/bert/encoder/layer_1/output/LayerNorm/moments/mean_grad/Tile 519243 519276
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_grad/Sum 519284 519319
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_grad/Sum_1 519323 519355
gradients/bert/encoder/layer_1/output/LayerNorm/moments/mean_grad/truediv 519360 519391
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/mul_grad/Reshape 519395 519403
global_norm/L2Loss_36 519407 519438
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/Rsqrt_grad/RsqrtGrad 519441 519488
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/add_grad/Sum 519492 519501
gradients/bert/encoder/layer_1/output/LayerNorm/batchnorm/add_grad/Reshape 519504 519510
gradients/bert/encoder/layer_1/output/LayerNorm/moments/variance_grad/Tile 519514 519545
gradients/bert/encoder/layer_1/output/LayerNorm/moments/SquaredDifference_grad/mul 519552 519584
gradients/bert/encoder/layer_1/output/LayerNorm/moments/SquaredDifference_grad/mul_1 519588 519617
gradients/AddN_75 519621 519652
gradients/bert/encoder/layer_1/output/dropout/div_grad/RealDiv 519658 519686
gradients/bert/encoder/layer_1/output/dense/MatMul_grad/MatMul 519690 519730
gradients/bert/encoder/layer_1/output/dense/MatMul_grad/MatMul_1 519739 519788
gradients/bert/encoder/layer_1/output/dense/BiasAdd_grad/BiasAddGrad 519795 519871
gradients/bert/encoder/layer_1/intermediate/dense/mul_1_grad/Mul 519875 519914
gradients/bert/encoder/layer_1/intermediate/dense/mul_1_grad/Mul_1 519918 519947
global_norm/L2Loss_33 519951 520012
global_norm/L2Loss_34 520016 520045
gradients/bert/encoder/layer_1/intermediate/dense/Erf_grad/mul_1 520048 520077
gradients/bert/encoder/layer_1/intermediate/dense/truediv_grad/RealDiv 520082 520110
gradients/AddN_76 520114 520164
gradients/bert/encoder/layer_1/intermediate/dense/MatMul_grad/MatMul 520168 520218
gradients/bert/encoder/layer_1/intermediate/dense/MatMul_grad/MatMul_1 520231 520270
gradients/bert/encoder/layer_1/intermediate/dense/BiasAdd_grad/BiasAddGrad 520284 520332
gradients/AddN_77 520335 520367
global_norm/L2Loss_31 520370 520462
global_norm/L2Loss_32 520465 520494
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_1_grad/Mul 520497 520537
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/sub_grad/Sum 520545 520600
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_1_grad/Mul_1 520609 520641
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/sub_grad/Neg 520645 520672
global_norm/L2Loss_29 520675 520708
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_2_grad/Mul 520712 520738
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_2_grad/Mul_1 520742 520779
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_2_grad/Sum 520782 520817
gradients/AddN_78 520822 520859
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_2_grad/Reshape 520864 520872
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_grad/Mul 520880 520933
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_grad/Mul_1 520940 520976
gradients/bert/encoder/layer_1/attention/output/LayerNorm/moments/mean_grad/Tile 520980 521013
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_grad/Sum 521020 521059
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_grad/Sum_1 521063 521099
gradients/bert/encoder/layer_1/attention/output/LayerNorm/moments/mean_grad/truediv 521103 521163
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/mul_grad/Reshape 521167 521177
global_norm/L2Loss_30 521180 521214
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/Rsqrt_grad/RsqrtGrad 521219 521250
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/add_grad/Sum 521254 521263
gradients/bert/encoder/layer_1/attention/output/LayerNorm/batchnorm/add_grad/Reshape 521267 521277
gradients/bert/encoder/layer_1/attention/output/LayerNorm/moments/variance_grad/Tile 521282 521334
gradients/bert/encoder/layer_1/attention/output/LayerNorm/moments/SquaredDifference_grad/mul 521341 521381
gradients/bert/encoder/layer_1/attention/output/LayerNorm/moments/SquaredDifference_grad/mul_1 521385 521415
gradients/AddN_79 521419 521456
gradients/bert/encoder/layer_1/attention/output/dropout/div_grad/RealDiv 521461 521490
gradients/bert/encoder/layer_1/attention/output/dense/MatMul_grad/MatMul 521494 521539
gradients/bert/encoder/layer_1/attention/output/dense/MatMul_grad/MatMul_1 521547 521611
gradients/bert/encoder/layer_1/attention/output/dense/BiasAdd_grad/BiasAddGrad 521618 521671
gradients/bert/encoder/layer_1/attention/self/Reshape_3_grad/Reshape 521675 521685
global_norm/L2Loss_27 521690 521761
global_norm/L2Loss_28 521764 521823
gradients/bert/encoder/layer_1/attention/self/transpose_3_grad/transpose 521827 521872
gradients/bert/encoder/layer_1/attention/self/MatMul_1_grad/MatMul 521880 522104
gradients/bert/encoder/layer_1/attention/self/MatMul_1_grad/MatMul_1 522112 522280
gradients/bert/encoder/layer_1/attention/self/dropout/div_grad/RealDiv 522288 522326
gradients/bert/encoder/layer_1/attention/self/transpose_2_grad/transpose 522331 522367
gradients/bert/encoder/layer_1/attention/self/Softmax_grad/mul 522375 522405
gradients/bert/encoder/layer_1/attention/self/Reshape_2_grad/Reshape 522408 522418
gradients/bert/encoder/layer_1/attention/self/Softmax_grad/Sum 522421 522456
gradients/bert/encoder/layer_1/attention/self/value/MatMul_grad/MatMul 522463 522524
gradients/bert/encoder/layer_1/attention/self/value/MatMul_grad/MatMul_1 522532 522592
gradients/bert/encoder/layer_1/attention/self/value/BiasAdd_grad/BiasAddGrad 522599 522648
gradients/bert/encoder/layer_1/attention/self/Softmax_grad/sub 522652 522686
global_norm/L2Loss_25 522691 522754
global_norm/L2Loss_26 522758 522786
gradients/bert/encoder/layer_1/attention/self/Mul_grad/Mul 522789 522820
gradients/bert/encoder/layer_1/attention/self/MatMul_grad/MatMul 522825 523017
gradients/bert/encoder/layer_1/attention/self/MatMul_grad/MatMul_1 523025 523189
gradients/bert/encoder/layer_1/attention/self/transpose_grad/transpose 523197 523238
gradients/bert/encoder/layer_1/attention/self/transpose_1_grad/transpose 523244 523278
gradients/bert/encoder/layer_1/attention/self/Reshape_grad/Reshape 523284 523293
gradients/bert/encoder/layer_1/attention/self/Reshape_1_grad/Reshape 523297 523303
gradients/bert/encoder/layer_1/attention/self/query/MatMul_grad/MatMul 523306 523345
gradients/bert/encoder/layer_1/attention/self/query/MatMul_grad/MatMul_1 523351 523409
gradients/bert/encoder/layer_1/attention/self/query/BiasAdd_grad/BiasAddGrad 523415 523461
gradients/bert/encoder/layer_1/attention/self/key/MatMul_grad/MatMul 523464 523502
gradients/bert/encoder/layer_1/attention/self/key/MatMul_grad/MatMul_1 523509 523569
gradients/bert/encoder/layer_1/attention/self/key/BiasAdd_grad/BiasAddGrad 523575 523638
global_norm/L2Loss_21 523670 523737
global_norm/L2Loss_22 523740 523769
gradients/AddN_80 523772 523805
global_norm/L2Loss_23 523811 523870
global_norm/L2Loss_24 523873 523900
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_1_grad/Mul 523902 523954
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/sub_grad/Sum 523961 523997
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_1_grad/Mul_1 524002 524031
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/sub_grad/Neg 524035 524063
global_norm/L2Loss_19 524066 524277
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_2_grad/Mul 524280 524377
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_2_grad/Mul_1 524381 524416
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_2_grad/Sum 524420 524457
gradients/AddN_81 524461 524493
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_2_grad/Reshape 524497 524505
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_grad/Mul 524509 524639
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_grad/Mul_1 524646 524676
gradients/bert/encoder/layer_0/output/LayerNorm/moments/mean_grad/Tile 524680 524715
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_grad/Sum 524723 524759
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_grad/Sum_1 524763 524810
gradients/bert/encoder/layer_0/output/LayerNorm/moments/mean_grad/truediv 524815 524949
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/mul_grad/Reshape 524953 524961
global_norm/L2Loss_20 524964 525090
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/Rsqrt_grad/RsqrtGrad 525093 525193
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/add_grad/Sum 525198 525207
gradients/bert/encoder/layer_0/output/LayerNorm/batchnorm/add_grad/Reshape 525211 525217
gradients/bert/encoder/layer_0/output/LayerNorm/moments/variance_grad/Tile 525221 525252
gradients/bert/encoder/layer_0/output/LayerNorm/moments/SquaredDifference_grad/mul 525259 525347
gradients/bert/encoder/layer_0/output/LayerNorm/moments/SquaredDifference_grad/mul_1 525352 525452
gradients/AddN_82 525457 525510
gradients/bert/encoder/layer_0/output/dropout/div_grad/RealDiv 525514 525650
gradients/bert/encoder/layer_0/output/dense/MatMul_grad/MatMul 525655 525763
gradients/bert/encoder/layer_0/output/dense/MatMul_grad/MatMul_1 525778 525869
gradients/bert/encoder/layer_0/output/dense/BiasAdd_grad/BiasAddGrad 525876 525926
gradients/bert/encoder/layer_0/intermediate/dense/mul_1_grad/Mul 525930 525977
gradients/bert/encoder/layer_0/intermediate/dense/mul_1_grad/Mul_1 525981 526109
global_norm/L2Loss_17 526113 526235
global_norm/L2Loss_18 526238 526266
gradients/bert/encoder/layer_0/intermediate/dense/Erf_grad/mul_1 526270 526299
gradients/bert/encoder/layer_0/intermediate/dense/truediv_grad/RealDiv 526303 526384
gradients/AddN_83 526388 526532
gradients/bert/encoder/layer_0/intermediate/dense/MatMul_grad/MatMul 526536 526724
gradients/bert/encoder/layer_0/intermediate/dense/MatMul_grad/MatMul_1 526731 526872
gradients/bert/encoder/layer_0/intermediate/dense/BiasAdd_grad/BiasAddGrad 526879 531468
gradients/AddN_84 531471 536561
global_norm/L2Loss_15 536564 537225
global_norm/L2Loss_16 537228 537624
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_1_grad/Mul 537627 537660
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/sub_grad/Sum 537667 537702
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_1_grad/Mul_1 537707 537739
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/sub_grad/Neg 537742 538247
global_norm/L2Loss_13 538250 538807
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_2_grad/Mul 538810 539381
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_2_grad/Mul_1 539385 544385
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_2_grad/Sum 544389 549473
gradients/AddN_85 549477 549690
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_2_grad/Reshape 549701 549710
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_grad/Mul 549714 549834
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_grad/Mul_1 549841 549872
gradients/bert/encoder/layer_0/attention/output/LayerNorm/moments/mean_grad/Tile 549875 549925
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_grad/Sum 549932 549970
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_grad/Sum_1 549974 550022
gradients/bert/encoder/layer_0/attention/output/LayerNorm/moments/mean_grad/truediv 550025 550162
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_grad/Reshape 550171 550179
global_norm/L2Loss_14 550183 550301
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/Rsqrt_grad/RsqrtGrad 550304 550405
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/add_grad/Sum 550414 550423
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/add_grad/Reshape 550426 550431
gradients/bert/encoder/layer_0/attention/output/LayerNorm/moments/variance_grad/Tile 550436 550471
gradients/bert/encoder/layer_0/attention/output/LayerNorm/moments/SquaredDifference_grad/mul 550478 550558
gradients/bert/encoder/layer_0/attention/output/LayerNorm/moments/SquaredDifference_grad/mul_1 550565 550665
gradients/AddN_86 550669 550722
gradients/bert/encoder/layer_0/attention/output/dropout/div_grad/RealDiv 550729 550863
gradients/bert/encoder/layer_0/attention/output/dense/MatMul_grad/MatMul 550868 550975
gradients/bert/encoder/layer_0/attention/output/dense/MatMul_grad/MatMul_1 550987 551085
gradients/bert/encoder/layer_0/attention/output/dense/BiasAdd_grad/BiasAddGrad 551092 551142
gradients/bert/encoder/layer_0/attention/self/Reshape_3_grad/Reshape 551146 551154
global_norm/L2Loss_11 551158 551323
global_norm/L2Loss_12 551330 551419
gradients/bert/encoder/layer_0/attention/self/transpose_3_grad/transpose 551422 551457
gradients/bert/encoder/layer_0/attention/self/MatMul_1_grad/MatMul 551469 551749
gradients/bert/encoder/layer_0/attention/self/MatMul_1_grad/MatMul_1 551757 554612
gradients/bert/encoder/layer_0/attention/self/dropout/div_grad/RealDiv 554619 554699
gradients/bert/encoder/layer_0/attention/self/transpose_2_grad/transpose 554704 554739
gradients/bert/encoder/layer_0/attention/self/Softmax_grad/mul 554745 554773
gradients/bert/encoder/layer_0/attention/self/Reshape_2_grad/Reshape 554777 554786
gradients/bert/encoder/layer_0/attention/self/Softmax_grad/Sum 554789 554821
gradients/bert/encoder/layer_0/attention/self/value/MatMul_grad/MatMul 554827 555072
gradients/bert/encoder/layer_0/attention/self/value/MatMul_grad/MatMul_1 555079 555132
gradients/bert/encoder/layer_0/attention/self/value/BiasAdd_grad/BiasAddGrad 555138 555180
gradients/bert/encoder/layer_0/attention/self/Softmax_grad/sub 555184 555216
global_norm/L2Loss_9 555220 555406
global_norm/L2Loss_10 555410 555436
gradients/bert/encoder/layer_0/attention/self/Mul_grad/Mul 555439 555466
gradients/bert/encoder/layer_0/attention/self/MatMul_grad/MatMul 555470 556782
gradients/bert/encoder/layer_0/attention/self/MatMul_grad/MatMul_1 556791 559516
gradients/bert/encoder/layer_0/attention/self/transpose_grad/transpose 559524 559712
gradients/bert/encoder/layer_0/attention/self/transpose_1_grad/transpose 559718 559752
gradients/bert/encoder/layer_0/attention/self/Reshape_grad/Reshape 559758 559766
gradients/bert/encoder/layer_0/attention/self/Reshape_1_grad/Reshape 559769 559774
gradients/bert/encoder/layer_0/attention/self/query/MatMul_grad/MatMul 559777 559813
gradients/bert/encoder/layer_0/attention/self/query/MatMul_grad/MatMul_1 559819 559876
gradients/bert/encoder/layer_0/attention/self/query/BiasAdd_grad/BiasAddGrad 559882 560023
gradients/bert/encoder/layer_0/attention/self/key/MatMul_grad/MatMul 560026 560063
gradients/bert/encoder/layer_0/attention/self/key/MatMul_grad/MatMul_1 560069 560119
gradients/bert/encoder/layer_0/attention/self/key/BiasAdd_grad/BiasAddGrad 560125 560163
global_norm/L2Loss_5 560168 560496
global_norm/L2Loss_6 560499 560525
gradients/AddN_87 560527 560562
global_norm/L2Loss_7 560567 561286
global_norm/L2Loss_8 561289 561636
gradients/bert/encoder/Reshape_1_grad/Reshape 561639 561648
gradients/bert/embeddings/dropout/div_grad/RealDiv 561651 562917
gradients/bert/embeddings/LayerNorm/batchnorm/mul_1_grad/Mul 562921 564165
gradients/bert/embeddings/LayerNorm/batchnorm/sub_grad/Sum 564171 564263
gradients/bert/embeddings/LayerNorm/batchnorm/mul_1_grad/Mul_1 564268 565540
gradients/bert/embeddings/LayerNorm/batchnorm/sub_grad/Neg 565544 566783
global_norm/L2Loss_3 566786 566882
gradients/bert/embeddings/LayerNorm/batchnorm/mul_2_grad/Mul 566884 566910
gradients/bert/embeddings/LayerNorm/batchnorm/mul_2_grad/Mul_1 566913 566941
gradients/bert/embeddings/LayerNorm/batchnorm/mul_2_grad/Sum 566945 566976
gradients/AddN_88 566980 567148
gradients/bert/embeddings/LayerNorm/batchnorm/mul_2_grad/Reshape 567152 567160
gradients/bert/embeddings/LayerNorm/batchnorm/mul_grad/Mul 567163 567197
gradients/bert/embeddings/LayerNorm/batchnorm/mul_grad/Mul_1 567204 567231
gradients/bert/embeddings/LayerNorm/moments/mean_grad/Tile 567234 567395
gradients/bert/embeddings/LayerNorm/batchnorm/mul_grad/Sum 567412 567509
gradients/bert/embeddings/LayerNorm/batchnorm/mul_grad/Sum_1 567519 567591
gradients/bert/embeddings/LayerNorm/moments/mean_grad/truediv 567598 567662
gradients/bert/embeddings/LayerNorm/batchnorm/mul_grad/Reshape 567669 567686
global_norm/L2Loss_4 567691 567745
gradients/bert/embeddings/LayerNorm/batchnorm/Rsqrt_grad/RsqrtGrad 567751 567819
gradients/bert/embeddings/LayerNorm/batchnorm/add_grad/Sum 567825 567843
gradients/bert/embeddings/LayerNorm/batchnorm/add_grad/Reshape 567848 567861
gradients/bert/embeddings/LayerNorm/moments/variance_grad/Tile 567866 567925
gradients/bert/embeddings/LayerNorm/moments/SquaredDifference_grad/mul 567937 567996
gradients/bert/embeddings/LayerNorm/moments/SquaredDifference_grad/mul_1 568002 568057
gradients/AddN_89 568064 568176
gradients/bert/embeddings/embedding_lookup_grad/Reshape 568184 568201
gradients/bert/embeddings/add_1_grad/Sum_1 568205 568289
gradients/concat 568299 568503
gradients/bert/embeddings/MatMul_grad/MatMul_1 568515 568779
